DAY,9:30-10:20,10:20-11:10,11:10-12:00,12:00-12:50,BREAK,1:40-2:30,2:30-3:20,3:20-4:00
Monday,,,,,,,,
Tuesday,,,,,,,,
Wednesday,,,,,,,,
Thursday,,,,,,,,
Friday,,,,,,,,
Saturday,,,,,,,,
